,Model##other##,Description##other##,Storage Tower##other##,Has Left Double Doors##other##,Has Right Double Doors##other##
"Upper Shelves & Lower Door, Left Double Doors, Right Double Doors",ZXRS92741DDDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & Low Dr-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1,1
"Upper Shelves & Lower Door, Left Double Doors, Right File File",ZXRS92741DDFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & Low Dr-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1,0
"Upper Shelves & Lower Door, Left File File, Right Double Doors",ZXRS92741FFDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & Low Dr-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0,1
"Upper Shelves & Lower Door, Left File File, Right File File",ZXRS92741FFFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & Low Dr-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0,0
"Upper Shelves & File File Pedestal, Left Double Doors, Right Double Doors",ZXRS92742DDDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & FF Ped-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1,1
"Upper Shelves & File File Pedestal, Left Double Doors, Right File File",ZXRS92742DDFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & FF Ped-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1,0
"Upper Shelves & File File Pedestal, Left File File, Right Double Doors",ZXRS92742FFDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & FF Ped-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0,1
"Upper Shelves & File File Pedestal, Left File File, Right File File",ZXRS92742FFFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & FF Ped-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0,0
"Upper Shelves & Box Box File Pedestal, Left Double Doors, Right Double Doors",ZXRS92743DDDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & BBF Ped-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1,1
"Upper Shelves & Box Box File Pedestal, Left Double Doors, Right File File",ZXRS92743DDFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & BBF Ped-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1,0
