;Model##other##;Description##other##;Left Storage Tower##other##;Right Storage Tower##other##;Has Double Doors##other##
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & Lower Door, Double Doors;ZXSO108746DD1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108746DD2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108746DD3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Upper Wardrobe & File File Pedestal, Right Full Wardrobe, Double Doors;ZXSO108746DD4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108746DD5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108746DD6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108746DD7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & Lower Door, File File;ZXSO108746FF1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & File File Pedestal, File File;ZXSO108746FF2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108746FF3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
Left Upper Wardrobe & File File Pedestal, Right Full Wardrobe, File File;ZXSO108746FF4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & Lower Door, File File;ZXSO108746FF5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108746FF6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108746FF7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & Lower Door, Double Doors;ZXSO108747DD1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108747DD2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108747DD3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Upper Wardrobe & Box Box File Pedestal, Right Full Wardrobe, Double Doors;ZXSO108747DD4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108747DD5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108747DD6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108747DD7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & Lower Door, File File;ZXSO108747FF1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & File File Pedestal, File File;ZXSO108747FF2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108747FF3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
Left Upper Wardrobe & Box Box File Pedestal, Right Full Wardrobe, File File;ZXSO108747FF4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & Lower Door, File File;ZXSO108747FF5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108747FF6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108747FF7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
